
Profilo professionale;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Anestesisti;2,01;2,06;1,96;2,09;2,15;2,17;2,21;2,06;2,17;2,23
Cardiologi;2,14;2,18;2,11;2,18;2,20;2,23;2,29;2,31;2,42;2,52
Chirurghi;1,49;1,40;1,42;1,46;1,49;1,43;1,47;1,36;1,41;1,46
Gastroenterologi;0,57;0,58;0,55;0,56;0,57;0,59;0,60;0,60;0,60;0,64
Geriatri;0,71;0,73;0,66;0,69;0,71;0,70;0,72;0,70;0,74;0,79
Neurologi;1,12;1,10;1,03;1,08;1,10;1,09;1,12;1,12;1,17;1,23
Oncologi;0,73;0,74;0,72;0,74;0,76;0,77;0,78;0,78;0,81;0,86
Ortopedici;1,53;1,57;1,51;1,56;1,52;1,51;1,52;1,56;1,60;1,69
Otorinolaringoiatri;0,73;0,74;0,74;0,76;0,77;0,75;0,76;0,73;0,77;0,80
Urologi;0,63;0,64;0,64;0,67;0,68;0,68;0,68;0,68;0,71;0,77
Altri medici specialisti;18,29;18,51;18,47;17,81;17,97;18,08;18,32;18,42;19,25;20,17
Pediatri;2,90;2,90;2,86;2,94;2,89;2,83;2,85;2,79;2,73;2,75
