Territorio;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Piemonte;35,13;35,34;35,05;36,10;36,51;36,80;37,03;36,68;37,33;38,18
Valle d'Aosta;36,61;36,45;36,00;37,44;37,01;35,50;36,70;36,69;36,86;36,51
Liguria;44,02;44,56;44,16;45,46;45,73;45,56;46,24;45,49;46,93;48,16
Lombardia;35,95;36,02;35,62;36,86;37,14;37,01;37,29;36,83;38,05;39,29
Trentino-Alto Adige;30,75;31,29;30,69;32,12;32,89;32,61;32,68;32,82;33,63;34,69
Veneto;32,59;32,91;32,89;34,03;34,44;34,43;34,57;34,56;35,71;37,16
Friuli Venezia Giulia;38,70;39,04;38,72;39,80;40,50;40,42;40,46;39,33;40,05;41,57
Emilia-Romagna;40,89;41,23;40,68;42,01;42,31;41,94;42,52;42,73;43,93;45,55
Toscana;42,02;42,36;42,29;43,47;44,12;44,12;44,48;43,94;45,29;47,50
Umbria;43,13;43,60;43,28;44,62;45,08;45,07;45,69;44,34;45,62;47,00
Marche;35,64;35,87;35,86;36,80;37,43;37,70;38,26;37,65;38,68;39,44
Lazio;46,66;46,52;45,45;46,82;46,90;46,67;47,38;46,79;48,32;50,18
Abruzzo;40,71;40,96;41,01;42,53;43,11;43,10;43,54;42,49;44,23;44,97
Molise;39,41;39,72;39,01;39,58;40,52;41,19;41,54;40,65;41,64;42,04
Campania;38,22;38,11;37,72;38,54;38,91;38,71;39,10;38,21;39,29;39,96
Puglia;35,96;36,17;35,98;37,09;37,71;37,88;38,47;38,00;38,88;39,76
Basilicata;34,39;34,59;34,64;35,33;35,56;35,33;35,15;33,98;33,84;34,97
Calabria;38,63;38,58;37,89;39,01;39,45;38,84;38,81;38,64;37,10;39,66
Sicilia;42,83;42,93;42,22;43,34;43,75;43,64;44,12;43,39;44,31;45,38
Sardegna;47,44;47,63;47,61;48,80;49,02;48,19;48,21;47,51;48,34;49,39
