"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",27785,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",27785,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",835,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",835,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",8632,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",8632,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",72560,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",72560,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",9468,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",9468,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",5225,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",5225,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",4243,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",4243,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",33275,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",33275,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",7450,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",7450,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",30914,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",30914,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",23220,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",23220,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",5488,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",5488,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",9582,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",9582,,
