ANNO_LAUREA;COD_Ateneo;NomeOperativo;NUMERO;NOME_CORSO;COMUNE;ID_PROVINCIA_ISTAT;ID_SESSO;laureati
2023;6307;Napoli Pegaso - telematica;L-19;Scienze dell'educazione e della formazione;NAPOLI;63;F;3487
2023;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;M;3160
2023;6307;Napoli Pegaso - telematica;L-22;Scienze Motorie;NAPOLI;63;M;2906
2022;6307;Napoli Pegaso - telematica;L-19;Scienze dell'educazione e della formazione;NAPOLI;63;F;2903
2022;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;M;2851
2022;6307;Napoli Pegaso - telematica;L-22;Scienze Motorie;NAPOLI;63;M;2448
2021;6307;Napoli Pegaso - telematica;L-19;Scienze dell'Educazione e della Formazione;NAPOLI;63;F;2343
2021;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;M;2341
2020;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;M;2165
2021;6307;Napoli Pegaso - telematica;L-22;Scienze Motorie;NAPOLI;63;M;1969
2023;6307;Napoli Pegaso - telematica;LM-47;Management dello Sport e delle Attività Motorie;NAPOLI;63;M;1854
2022;6307;Napoli Pegaso - telematica;LM-85;Scienze pedagogiche;NAPOLI;63;F;1779
2023;5814;Roma  Mercatorum - telematica;L-14;Scienze Giuridiche;ROMA;58;M;1730
2023;6307;Napoli Pegaso - telematica;LM-85;Scienze Pedagogiche;NAPOLI;63;F;1725
2023;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;F;1659
2022;6307;Napoli Pegaso - telematica;LMG/01;Giurisprudenza;NAPOLI;63;M;1653
2020;6307;Napoli Pegaso - telematica;L-19;Scienze dell'Educazione e della Formazione;NAPOLI;63;F;1633
2023;6307;Napoli Pegaso - telematica;LMG/01;Giurisprudenza;NAPOLI;63;M;1630
2021;5815;Roma UNICUSANO - telematica;L-36;Scienze Politiche e Relazioni Internazionali;ROMA;58;M;1600
2023;6307;Napoli Pegaso - telematica;LM-39;Linguistica Moderna;NAPOLI;63;F;1578
2022;6307;Napoli Pegaso - telematica;LM-47;Management dello Sport e delle Attività Motorie;NAPOLI;63;M;1563
2021;6307;Napoli Pegaso - telematica;LM-85;Scienze Pedagogiche;NAPOLI;63;F;1515
2022;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;F;1482
2019;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;M;1438
2020;6307;Napoli Pegaso - telematica;L-22;Scienze Motorie;NAPOLI;63;M;1423
2022;5815;Roma UNICUSANO - telematica;L-36;Scienze Politiche e Relazioni Internazionali;ROMA;58;M;1412
2021;6307;Napoli Pegaso - telematica;LMG/01;GIURISPRUDENZA;NAPOLI;63;M;1330
2020;5815;Roma UNICUSANO - telematica;L-36;Scienze Politiche e Relazioni Internazionali;ROMA;58;M;1308
