"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",28354,"E; B","Estimated value; Break"
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",30021,"E; B","Estimated value; Break"
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",31845,"E","Estimated value"
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",33370,"E","Estimated value"
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",35121,"E","Estimated value"
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",37318,"E","Estimated value"
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",39104,"E","Estimated value"
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",41275,"E","Estimated value"
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",43255,"E","Estimated value"
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",45200,"E","Estimated value"
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",9118,"E; B","Estimated value; Break"
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",9720,"E; B","Estimated value; Break"
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",10313,"E","Estimated value"
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",10600,"E","Estimated value"
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",11164,"E","Estimated value"
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",11747,"E","Estimated value"
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",12167,"E","Estimated value"
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",12581,"E","Estimated value"
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",12986,"E","Estimated value"
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",13165,"E","Estimated value"
"PAGGF344","Female physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",8311,"E; B","Estimated value; Break"
"PAGGF344","Female physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",8837,"E; B","Estimated value; Break"
"PAGGF344","Female physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",9476,"E","Estimated value"
"PAGGF344","Female physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",10040,"E","Estimated value"
"PAGGF344","Female physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",10615,"E","Estimated value"
"PAGGF344","Female physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",11362,"E","Estimated value"
"PAGGF344","Female physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",11917,"E","Estimated value"
"PAGGF344","Female physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",12800,"E","Estimated value"
"PAGGF344","Female physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",13697,"E","Estimated value"
"PAGGF344","Female physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",14545,"E","Estimated value"
"PAGGF454","Female physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",6560,"E; B","Estimated value; Break"
"PAGGF454","Female physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",6718,"E; B","Estimated value; Break"
"PAGGF454","Female physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",6952,"E","Estimated value"
"PAGGF454","Female physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",7172,"E","Estimated value"
"PAGGF454","Female physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",7410,"E","Estimated value"
"PAGGF454","Female physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",7874,"E","Estimated value"
"PAGGF454","Female physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",8203,"E","Estimated value"
"PAGGF454","Female physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",8661,"E","Estimated value"
"PAGGF454","Female physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",8986,"E","Estimated value"
"PAGGF454","Female physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",9424,"E","Estimated value"
"PAGGF564","Female physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",3439,"E; B","Estimated value; Break"
"PAGGF564","Female physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",3659,"E; B","Estimated value; Break"
"PAGGF564","Female physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",3969,"E","Estimated value"
"PAGGF564","Female physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",4293,"E","Estimated value"
"PAGGF564","Female physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",4580,"E","Estimated value"
"PAGGF564","Female physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",4861,"E","Estimated value"
"PAGGF564","Female physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",5168,"E","Estimated value"
