Anno;Codice Regione;Descrizione Regione;Codice Azienda;Tipo Azienda;Codice struttura;Denominazione struttura;Indirizzo;Codice Comune;Comune;Sigla provincia;Codice tipo struttura;Descrizione tipo struttura;Tipo di Disciplina;Posti letto degenza ordinaria;Posti letto degenza a pagamento;Posti letto Day Hospital;Posti letto Day Surgery;Totale posti letto
2020;010;PIEMONTE;203;1;010030;OSPEDALI RIUNITI PINEROLO               ;VIA BRIGATA CAGLIARI 39                 ;001191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;ACUTI;180;0;6;13;199
2020;010;PIEMONTE;203;1;010030;OSPEDALI RIUNITI PINEROLO               ;VIA BRIGATA CAGLIARI 39                 ;001191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;LUNGODEGENZA;18;0;0;0;18
2020;010;PIEMONTE;203;1;010030;OSPEDALI RIUNITI PINEROLO               ;VIA BRIGATA CAGLIARI 39                 ;001191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;RIABILITAZIONE;17;0;0;0;17
2020;010;PIEMONTE;203;1;010079;OSPEDALI RIUNITI RIVOLI;VIA RIVALTA 29;001219;RIVOLI                                  ;TO;1;Ospedale a gestione diretta;ACUTI;277;0;9;18;304
2020;010;PIEMONTE;203;1;010079;OSPEDALI RIUNITI RIVOLI;VIA RIVALTA 29;001219;RIVOLI                                  ;TO;1;Ospedale a gestione diretta;LUNGODEGENZA;15;0;0;0;15
2020;010;PIEMONTE;203;1;010614;CASA DI CURA VILLE AUGUSTA - S.R.L.     ;VIA PINEROLO SUSA 15                    ;001038;BRUINO                                  ;TO;5.1;Casa di cura privata accreditata;RIABILITAZIONE;80;0;0;0;80
2020;010;PIEMONTE;203;1;010615;CASA DI CURA VILLA PATRIZIA - S.R.L.    ;REGIONE GIORDA 6/8                      ;001194;PIOSSASCO                               ;TO;5.1;Casa di cura privata accreditata;RIABILITAZIONE;25;0;0;0;25
2020;010;PIEMONTE;203;1;010621;CASA DI CURA VILLA SERENA - S.P.A.      ;VIA MAGENTA 45                          ;001194;PIOSSASCO                               ;TO;5.1;Casa di cura privata accreditata;LUNGODEGENZA;20;0;0;0;20
2020;010;PIEMONTE;203;1;010621;CASA DI CURA VILLA SERENA - S.P.A.      ;VIA MAGENTA 45                          ;001194;PIOSSASCO                               ;TO;5.1;Casa di cura privata accreditata;RIABILITAZIONE;120;0;0;0;120
2020;010;PIEMONTE;203;1;010623;VILLA PAPA GIOVANNI XXIII               ;VIA SAN GILLIO 75                       ;001189;PIANEZZA                                ;TO;5.1;Casa di cura privata accreditata;RIABILITAZIONE;145;0;0;0;145
2020;010;PIEMONTE;203;1;010646;CASA DI CURA VILLA IRIS SRL             ;VIA PAVESE CESARE 12                    ;001189;PIANEZZA                                ;TO;5.1;Casa di cura privata accreditata;LUNGODEGENZA;102;0;0;0;102
2020;010;PIEMONTE;203;1;010646;CASA DI CURA VILLA IRIS SRL             ;VIA PAVESE CESARE 12                    ;001189;PIANEZZA                                ;TO;5.1;Casa di cura privata accreditata;RIABILITAZIONE;49;0;0;0;49
2020;010;PIEMONTE;203;1;010651;CASA DI CURA MADONNA DEI BOSCHI         ;VIA RAGAZZI DEL ' 99 1                  ;001045;BUTTIGLIERA ALTA                        ;TO;5.1;Casa di cura privata accreditata;RIABILITAZIONE;55;0;0;0;55
