"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","AUS","Australia","2010","2010",76782.38,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","AUS","Australia","2011","2011",92045.8,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","AUS","Australia","2012","2012",93156.87,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","AUS","Australia","2013","2013",88075.12,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","AUS","Australia","2014","2014",83869.75,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","AUS","Australia","2015","2015",71363.32,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","AUS","Australia","2016","2016",72053.96,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","AUS","Australia","2017","2017",77471.07,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","AUS","Australia","2018","2018",78962.98,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","AUS","Australia","2019","2019",77569.31,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","AUS","Australia","2020","2020",76459.4,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2010","2010",132062.82,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2011","2011",144154.61,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2012","2012",137361.09,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2013","2013",153950.74,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2014","2014",157563.81,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2015","2015",127884.38,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2016","2016",128568.52,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2017","2017",132151.72,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2018","2018",133599.76,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2019","2019",129582.57,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2020","2020",133325.17,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2021","2021",138560.29,"E","Estimated value"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2010","2010",77196.71,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2011","2011",83571.47,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2012","2012",79930.68,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2013","2013",85491.05,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2014","2014",85852.95,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2015","2015",72447.53,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2016","2016",72727.19,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2017","2017",76071.79,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2018","2018",81299.3,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2019","2019",77844.92,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2020","2020",82819.94,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","BEL","Belgium","2021","2021",86703.77,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CAN","Canada","2010","2010",62370.83,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CAN","Canada","2011","2011",66404.32,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CAN","Canada","2012","2012",66225.05,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CAN","Canada","2013","2013",65202.98,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CAN","Canada","2014","2014",62004.24,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CAN","Canada","2015","2015",54131.03,"B; D","Break; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CAN","Canada","2016","2016",53235.67,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CAN","Canada","2017","2017",54962.65,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CAN","Canada","2018","2018",56157.58,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CAN","Canada","2019","2019",56873.98,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CAN","Canada","2020","2020",57613.11,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CAN","Canada","2021","2021",63442.49,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CAN","Canada","2022","2022",62922.94,"D; P","Difference in methodology; Provisional value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2010","2010",30845.86,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2011","2011",38091.56,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2012","2012",34427.23,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2013","2013",34101.49,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2014","2014",33924.75,"B","Break"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2015","2015",30797.87,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2016","2016",32455.96,"B","Break"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2017","2017",36338.63,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2018","2018",42436.61,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2019","2019",42694.46,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2020","2020",46874.25,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2021","2021",55557.65,,
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2010","2010",16267.77,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2011","2011",17880.17,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2012","2012",16518.15,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2013","2013",16337.84,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2014","2014",15744.91,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2015","2015",14004.25,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2016","2016",15045.02,"B","Break"
"RVNURINF","Remuneration of hospital nurses","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2017","2017",17699.7,,
