"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2000","2000",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2001","2001",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2002","2002",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2003","2003",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2004","2004",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2005","2005",1,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2006","2006",1,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2007","2007",3,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2008","2008",1,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2009","2009",2,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2010","2010",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2011","2011",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2012","2012",2,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2013","2013",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2014","2014",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2015","2015",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2016","2016",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2017","2017",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2018","2018",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2019","2019",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2020","2020",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2021","2021",0,,
"CZE","Czechia","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2014","2014",1,,
"CZE","Czechia","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2015","2015",1,,
"CZE","Czechia","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2016","2016",1,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2000","2000",2,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2002","2002",1,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2003","2003",8,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2004","2004",7,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2005","2005",13,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2006","2006",12,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2007","2007",13,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2008","2008",4,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2009","2009",3,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2010","2010",5,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2011","2011",3,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2015","2015",2,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2016","2016",1,,
