Anno;Da 0 a 6 anni;Da 6 a 13 anni;Da 13 a 20 anni;Da 20 a 27 anni;Oltre 27 anni;Totale
2009;109;827;6.811;16.040;22.422;46.209
2010;124;733;5.738;14.410;24.873;45.878
2011;98;703;5.035;13.260;26.965;46.061
2012;69;554;4.231;12.120;28.463;45.437
2013;72;581;3.724;11.540;29.286;45.203
2014;78;739;3.307;10.853;29.960;44.937
2015;158;760;2.573;9.990;31.174;44.655
2016;95;881;2.331;9.282;31.681;44.270
2017;119;1.094;2.156;8.216;32.146;43.731
2018;139;1.350;1.917;6.814;32.767;42.987
2019;150;1.683;1.833;5.750;33.012;42.428
2020;311;2.234;1.943;4.859;32.360;41.707
2021;666;3.196;2.091;3.994;30.303;40.250
2022;1.102;3.711;2.485;3.532;28.536;39.366
