AnnoS;AteneoCOD;AteneoNOME;ClasseNUMERO;CorsoNOME;SedeC;SedeP;Sesso;Lau
2021;6307;Napoli Pegaso - telematica;L-19;Scienze dell'Educazione e della Formazione;NAPOLI;63;F;2340
2021;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;M;2336
2020;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;M;2165
2021;6307;Napoli Pegaso - telematica;L-22;Scienze Motorie;NAPOLI;63;M;1967
2020;6307;Napoli Pegaso - telematica;L-19;Scienze dell'Educazione e della Formazione;NAPOLI;63;F;1633
2021;5815;Roma UNICUSANO - telematica;L-36;Scienze Politiche e Relazioni Internazionali;ROMA;58;M;1549
2021;6307;Napoli Pegaso - telematica;LM-85;Scienze Pedagogiche;NAPOLI;63;F;1504
2019;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;M;1438
2020;6307;Napoli Pegaso - telematica;L-22;Scienze Motorie;NAPOLI;63;M;1423
2021;6307;Napoli Pegaso - telematica;LMG/01;GIURISPRUDENZA;NAPOLI;63;M;1325
2021;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;F;1199
2020;6307;Napoli Pegaso - telematica;LMG/01;Giurisprudenza;NAPOLI;63;M;1140
2020;6307;Napoli Pegaso - telematica;LM-85;Scienze Pedagogiche;NAPOLI;63;F;1118
2021;6307;Napoli Pegaso - telematica;LM-56;Scienze Economiche;NAPOLI;63;M;1108
2019;5815;Roma UNICUSANO - telematica;L-36;Scienze Politiche e Relazioni Internazionali;ROMA;58;M;1090
2020;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;F;1082
2021;6307;Napoli Pegaso - telematica;LM-47;Management dello Sport e delle Attività Motorie;NAPOLI;63;M;1034
2020;6307;Napoli Pegaso - telematica;L-07;Ingegneria Civile;NAPOLI;63;M;1028
2018;6307;Napoli Pegaso - telematica;L-18;Economia Aziendale;NAPOLI;63;M;1020
2020;5815;Roma UNICUSANO - telematica;L-36;Scienze Politiche e Relazioni Internazionali;ROMA;58;M;988
2019;6307;Napoli Pegaso - telematica;L-19;Scienze dell'Educazione e della Formazione;NAPOLI;63;F;876
2018;5815;Roma UNICUSANO - telematica;L-36;Scienze Politiche e Relazioni Internazionali;ROMA;58;M;868
2020;6307;Napoli Pegaso - telematica;LM-56;Scienze Economiche;NAPOLI;63;M;865
2019;6307;Napoli Pegaso - telematica;L-22;Scienze Motorie;NAPOLI;63;M;854
2019;6307;Napoli Pegaso - telematica;LMG/01;Giurisprudenza;NAPOLI;63;M;846
2021;6307;Napoli Pegaso - telematica;L-22;Scienze Motorie;NAPOLI;63;F;824
